fon_kodu,unvan,risk_seviyesi,yonetim_ucreti,pys,kategori,fon_buyuklugu,yatirimci_sayisi
ACV,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,1,0.85,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,Başlangıç Katılım Fonu,773639229,142359
AE1,AGESA HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ PARA PİYASASI EMEKLİLİK YATIRIM FONU,2,1.05,AGESA HAYAT VE EMEKLİLİK A.Ş.,Para Piyasası Fonu,75271809732,555136
AE4,AGESA HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,6,,AGESA HAYAT VE EMEKLİLİK A.Ş.,Değişken Fon,3477622637,106904
AEB,AGESA HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ GRUP EMEKLİLİK YATIRIM FONU,6,1,AGESA HAYAT VE EMEKLİLİK A.Ş.,Hisse Senedi Fonu,2594906994,33026
AEC,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. UNİLEVER BİRİNCİ DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,3,0.75,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,Değişken Fon,38314964,98
AEG,AGESA HAYAT VE EMEKLİLİK A.Ş. MUHAFAZAKAR DEĞİŞKEN EMEKLİLİK YATIRIM FONU,2,,AGESA HAYAT VE EMEKLİLİK A.Ş.,Değişken Fon,508208567,8563
AEI,AGESA HAYAT VE EMEKLİLİK A.Ş. KATKI EMEKLİLİK YATIRIM FONU,5,0.355,AGESA HAYAT VE EMEKLİLİK A.Ş.,Devlet Katkısı Fonu,54042500984,1983679
AEK,AGESA HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,3,1,AGESA HAYAT VE EMEKLİLİK A.Ş.,Borçlanma Araçları Fonu,781058214,12945
AEL,AGESA HAYAT VE EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU,6,,AGESA HAYAT VE EMEKLİLİK A.Ş.,Belirtilmemiş,76015050156,1004422
AEP,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. UNİLEVER İKİNCİ DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,5,0.8,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,Değişken Fon,530935622,541
