kategori,fon_sayisi,toplam_buyukluk_tl,ortalama_buyukluk_tl
Altın Katılım Fonu,9,695226220246,77247357805
Altın Fonu,7,275373207898,39339029700
Hisse Senedi Fonu,34,189358053746,5569354522
Değişken Fon,112,188231409940,1680637589
Fon Sepeti Fonu,23,81776330016,3555492609
OKS Katılım Standart Fon,12,63797953869,5316496156
Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç,10,50236619217,5023661922
Karma Fon,9,48375143704,5375015967
Borçlanma Araçları Fonu,13,40564051232,3120311633
Kıymetli Madenler,3,39613459240,13204486413
OKS Standart Fon,10,39314996238,3931499624
Dış Borçlanma Araçları Fonu,5,33631950801,6726390160
Özel Sektör Borçlanma Araçları Fonu,3,26725759043,8908586348
Standart Fon,13,22831029595,1756233046
Katılım Değişken Fon,10,16588651026,1658865103
Katılım Standart Fon,10,14010203852,1401020385
Endeks Fon,4,12769843353,3192460838
Katılım Fonu,4,10491067159,2622766790
Kira Sertifikasi Katılım Fonu,7,9942179224,1420311318
Belirtilmemiş,4,6830768111,1707692028
Kamu Borçlanma Araçları Fonu,1,4098880932,4098880932
Merkezi Alacağın Devri Fonu,4,724705253,181176313
Yaşam Döngüsü/Hedef Fon,3,704167801,234722600
Katılım Hisse Senedi Fonu,1,353547617,353547617
