fon_kodu,unvan,risk_seviyesi,yonetim_ucreti,stopaj,alis_valoru,satis_valoru,pys,kategori,veri_tarihi,fon_buyuklugu,yatirimci_sayisi,gunluk_nakit_giris_cikisi
AAJ,AGESA HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU,4,0.85,0,1,1,AGESA HAYAT VE EMEKLİLİK A.Ş.,OKS Standart Fon,2026-09-18T00:00:00.000Z,5394729807,663469,-10466461.80516
ABE,ANADOLU HAYAT EMEKLİLİK A.Ş. S&P 500 YABANCI BYF FON SEPETİ EMEKLİLİK YATIRIM FONU,6,2.2,0,1,3,ANADOLU HAYAT EMEKLİLİK A.Ş.,Fon Sepeti Fonu,2026-09-18T00:00:00.000Z,9735239086,196347,-5929055.854216
AE2,AGESA HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,3,1.9,0,1,1,AGESA HAYAT VE EMEKLİLİK A.Ş.,Borçlanma Araçları Fonu,2026-09-18T00:00:00.000Z,7685440595,301001,-3167717.145722
AE3,AGESA HAYAT VE EMEKLİLİK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,5,2.24,0,1,1,AGESA HAYAT VE EMEKLİLİK A.Ş.,Değişken Fon,2026-09-18T00:00:00.000Z,10817192494,276519,-11183777.177807
AEA,ANADOLU HAYAT EMEKLİLİK A.Ş. ALTIN KATILIM EMEKLİLİK YATIRIM FONU,6,1.07,0,1,1,ANADOLU HAYAT EMEKLİLİK A.Ş.,Altın Katılım Fonu,2026-09-18T00:00:00.000Z,92423180546,721024,32708777.241329003
AEH,AGESA HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,6,2.18,0,1,2,AGESA HAYAT VE EMEKLİLİK A.Ş.,Hisse Senedi Fonu,2026-09-18T00:00:00.000Z,22493022738,495029,25913504.611475002
AEN,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. ÖZEL SEKTÖR BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,3,1.9,0,1,2,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,Değişken Fon,2026-09-18T00:00:00.000Z,5260501797,230244,3208574.7515800004
AEU,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. BIST TEMETTÜ ENDEKSİ EMEKLİLİK YATIRIM FONU,6,1.88,0,1,2,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,Endeks Fon,2026-09-18T00:00:00.000Z,1488203438,21501,4785793.077474
AEZ,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. YAPI KREDİ FON SEPETİ EMEKLİLİK YATIRIM FONU,4,2,0,1,2,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,Değişken Fon,2026-09-18T00:00:00.000Z,372575173,6975,2582278.253518
AFH,ANADOLU HAYAT EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU,4,0.85,0,1,1,ANADOLU HAYAT EMEKLİLİK A.Ş.,OKS Standart Fon,2026-09-18T00:00:00.000Z,8071471103,794869,18333533.827305
