kategori,fon_sayisi,toplam_buyukluk_tl,ortalama_buyukluk_tl
Para Piyasası Fonu,14,397976491829,28426892274
Devlet Katkısı Fonu,12,253967801388,21163983449
Belirtilmemiş,13,76479228206,6373269017
Katılım Katkı Fonu,12,42422552093,3535212674
Değişken Fon,23,27741830578,1206166547
Hisse Senedi Fonu,4,9173737441,2293434360
Başlangıç Katılım Fonu,12,9046837683,753903140
Başlangıç Fonu,10,7786384521,778638452
Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç,2,4899175534,2449587767
Borçlanma Araçları Fonu,10,3303257186,330325719
Dış Borçlanma Araçları Fonu,1,1111102073,1111102073
Karma Fon,2,951753794,475876897
Endeks Fon,1,574999869,574999869
