grup,kategori,ornek_fon_sayisi,medyan_1yil_getiri_%,ortalama_1yil_getiri_%,en_iyi_1yil_getiri_%,en_kotu_1yil_getiri_%,ortalama_yillik_volatilite_%,ortalama_max_dusus_1yil_%
BEFAS_islem_goren,Fon Sepeti Fonu,3,51.95,51.95,70.83,33.06,32.98,-32.8
BEFAS_islem_goren,Kıymetli Madenler,3,45.47,45.47,48.76,42.17,29.44,-25.61
BEFAS_islem_goren,Katılım Fonu,3,42.84,42.84,53.67,32.0,34.97,-31.58
BEFAS_islem_goren,Özel Sektör Borçlanma Araçları Fonu,3,42.65,43.36,45.15,42.27,1.53,-0.13
BEFAS_islem_goren,Değişken Fon,3,39.79,36.37,53.83,15.5,19.12,-11.35
BEFAS_islem_goren,Katılım Standart Fon,3,38.02,38.2,42.33,34.26,6.66,-2.75
BEFAS_islem_goren,Borçlanma Araçları Fonu,3,36.56,36.03,40.54,30.98,5.19,-3.49
BEFAS_islem_goren,OKS Katılım Standart Fon,3,34.97,34.98,35.15,34.81,5.62,-2.1
BEFAS_islem_goren,Katılım Değişken Fon,3,33.9,34.09,39.95,28.42,15.28,-7.62
BEFAS_islem_goren,Altın Fonu,3,33.37,31.79,34.32,27.69,25.56,-24.57
BEFAS_islem_goren,Kira Sertifikasi Katılım Fonu,3,32.98,32.78,45.88,19.48,1.93,-0.5
BEFAS_islem_goren,Yaşam Döngüsü/Hedef Fon,3,32.63,32.35,39.21,25.21,8.45,-4.45
BEFAS_islem_goren,OKS Standart Fon,3,31.65,31.46,33.34,29.4,7.15,-4.82
BEFAS_islem_goren,Karma Fon,3,31.45,27.49,35.08,15.93,8.64,-5.63
BEFAS_islem_goren,Standart Fon,3,30.05,28.68,33.87,22.12,8.84,-6.57
BEFAS_islem_goren,Altın Katılım Fonu,3,29.78,30.47,33.06,28.56,25.91,-24.86
BEFAS_islem_goren,Kamu Borçlanma Araçları Fonu,1,29.65,29.65,29.65,29.65,5.27,-3.29
BEFAS_islem_goren,Merkezi Alacağın Devri Fonu,3,27.73,30.15,35.59,27.14,10.56,-5.69
BEFAS_islem_goren,Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç,3,23.0,21.74,23.74,18.48,5.22,-3.91
BEFAS_islem_goren,Dış Borçlanma Araçları Fonu,3,21.6,21.62,22.06,21.2,5.39,-3.48
BEFAS_islem_goren,Hisse Senedi Fonu,3,20.55,21.71,30.12,14.45,22.49,-14.26
BEFAS_islem_goren,Endeks Fon,3,12.76,17.73,38.62,1.8,23.29,-15.33
BEFAS_islem_goren,Belirtilmemiş,3,,,,,21.26,-8.21
BEFAS_islem_goren,Katılım Hisse Senedi Fonu,1,,,,,25.91,-9.67
BEFAS_klasik,Başlangıç Fonu,3,48.15,48.18,49.17,47.21,1.53,-0.03
BEFAS_klasik,Para Piyasası Fonu,3,47.23,47.26,47.34,47.21,1.49,-0.08
BEFAS_klasik,Başlangıç Katılım Fonu,3,46.17,47.09,48.95,46.14,1.92,-0.65
BEFAS_klasik,Katılım Katkı Fonu,3,40.71,40.26,44.56,35.5,10.22,-4.74
BEFAS_klasik,Borçlanma Araçları Fonu,3,32.89,32.43,34.65,29.76,6.6,-5.04
BEFAS_klasik,Hisse Senedi Fonu,3,28.95,27.0,30.88,21.16,22.64,-13.28
BEFAS_klasik,Devlet Katkısı Fonu,3,27.81,26.6,28.99,23.0,13.74,-9.47
BEFAS_klasik,Dış Borçlanma Araçları Fonu,1,22.62,22.62,22.62,22.62,4.98,-3.16
BEFAS_klasik,Değişken Fon,3,22.59,21.12,40.76,0.0,10.61,-5.99
BEFAS_klasik,Karma Fon,2,18.5,18.5,31.82,5.17,10.11,-4.05
BEFAS_klasik,Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç,2,10.1,10.1,20.2,0.0,4.27,-2.6
BEFAS_klasik,Endeks Fon,1,1.14,1.14,1.14,1.14,21.16,-10.12
BEFAS_klasik,Belirtilmemiş,3,0.0,0.0,0.0,0.0,,
TEFAS,Gümüş Fonları,3,71.39,71.66,73.68,69.91,54.87,-49.08
