fon_kodu,grup,kategori,unvan,fon_buyuklugu,son_fiyat_tarihi,ay1_getiri_%,ay3_getiri_%,ay6_getiri_%,ytd_getiri_%,yil1_getiri_%,yil3_getiri_%,yil5_getiri_%,gozlem_sayisi_1yil,yillik_volatilite_%,max_dusus_1yil_%,calmar_1yil
ABE,BEFAS_islem_goren,Fon Sepeti Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. S&P 500 YABANCI BYF FON SEPETİ EMEKLİLİK YATIRIM FONU,9735239086.0,2026-09-17T21:00:00.000Z,-0.42,5.34,21.54,22.49,33.06,194.08,917.81,249,11.76,-6.36,5.2
AE1,BEFAS_klasik,Para Piyasası Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. BİRİNCİ PARA PİYASASI EMEKLİLİK YATIRIM FONU,75271809732.0,2026-09-17T21:00:00.000Z,3.1,10.15,21.71,31.4,47.23,262.66,520.71,249,1.47,-0.06,
AE2,BEFAS_islem_goren,Borçlanma Araçları Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,7685440595.0,2026-09-17T21:00:00.000Z,2.11,6.13,12.92,16.7,30.98,156.09,415.82,249,6.83,-5.19,5.96
AEB,BEFAS_klasik,Hisse Senedi Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ GRUP EMEKLİLİK YATIRIM FONU,2594906994.0,2026-09-17T21:00:00.000Z,-2.54,-1.61,7.4,26.67,30.88,165.77,2492.07,249,22.14,-12.12,2.55
AEH,BEFAS_islem_goren,Hisse Senedi Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU,22493022738.0,2026-09-17T21:00:00.000Z,-2.81,-2.0,6.58,27.04,30.12,114.76,1665.44,249,21.53,-11.87,2.54
AEI,BEFAS_klasik,Devlet Katkısı Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. KATKI EMEKLİLİK YATIRIM FONU,54042500984.0,2026-09-17T21:00:00.000Z,1.07,0.75,7.95,17.61,27.81,122.79,431.23,249,13.32,-8.26,3.37
AEK,BEFAS_klasik,Borçlanma Araçları Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,781058214.0,2026-09-17T21:00:00.000Z,2.23,6.63,13.81,18.19,32.89,175.78,538.53,249,6.57,-5.03,6.53
AEL,BEFAS_klasik,Belirtilmemiş,AGESA HAYAT VE EMEKLİLİK A.Ş. ALTIN EMEKLİLİK YATIRIM FONU,76015050156.0,2024-12-26T21:00:00.000Z,0.0,0.0,0.0,0.0,0.0,86.24,594.06,,,,
AET,BEFAS_klasik,Devlet Katkısı Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. KATKI EMEKLİLİK YATIRIM FONU,52001413328.0,2026-09-17T21:00:00.000Z,0.2,1.35,10.1,18.19,28.99,132.34,479.79,249,12.54,-8.72,3.32
AEU,BEFAS_islem_goren,Endeks Fon,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. BIST TEMETTÜ ENDEKSİ EMEKLİLİK YATIRIM FONU,1488203438.0,2026-09-17T21:00:00.000Z,-2.28,-0.42,10.46,33.06,38.62,138.07,1448.58,249,21.54,-10.68,3.61
AFA,TEFAS,Yabancı Fonlar,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,5440708434.0,2026-09-20T21:00:00.000Z,1.86,9.69,30.74,28.39,41.54,214.6,1298.59,250,14.26,-9.32,4.46
AFH,BEFAS_islem_goren,OKS Standart Fon,ANADOLU HAYAT EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU,8071471103.0,2026-09-17T21:00:00.000Z,1.47,5.13,11.67,17.36,31.65,153.88,672.34,249,6.77,-4.23,7.48
AFP,BEFAS_islem_goren,OKS Katılım Standart Fon,ANADOLU HAYAT EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU,7001433027.0,2026-09-17T21:00:00.000Z,1.65,6.66,14.68,25.25,35.15,133.0,575.33,249,4.72,-1.58,22.19
AFT,TEFAS,Tematik Hisse,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,18918597153.0,2026-09-20T21:00:00.000Z,2.98,4.19,19.82,16.94,32.39,246.2,1271.37,250,26.03,-19.25,1.68
AG1,BEFAS_klasik,Borçlanma Araçları Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. İKİNCİ BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,460368146.0,2026-09-17T21:00:00.000Z,1.96,6.84,14.51,17.57,34.65,166.34,469.26,249,6.39,-4.61,7.51
AG3,BEFAS_klasik,Hisse Senedi Fonu,ANADOLU HAYAT EMEKLİLİK A.Ş. HİSSE SENEDİ GRUP EMEKLİLİK YATIRIM FONU,2364439472.0,2026-09-17T21:00:00.000Z,-2.04,-3.48,7.19,21.24,21.16,114.99,2079.4,249,22.64,-14.95,1.42
AGE,BEFAS_islem_goren,Katılım Standart Fon,ANADOLU HAYAT EMEKLİLİK A.Ş. KATILIM STANDART EMEKLİLİK YATIRIM FONU,1885982835.0,2026-09-17T21:00:00.000Z,0.33,2.89,11.39,23.63,34.26,133.18,658.92,249,6.33,-3.32,10.32
AH0,BEFAS_klasik,Değişken Fon,ANADOLU HAYAT EMEKLİLİK A.Ş. ATAK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,6261073660.0,2026-04-14T21:00:00.000Z,0.0,0.0,4.49,17.23,22.59,149.92,1537.73,144,15.49,-9.44,2.39
