fon_kodu,grup,kategori,unvan,fon_buyuklugu
TP2,TEFAS,Para Piyasası,TERA PORTFÖY PARA PİYASASI (TL) FONU,224391916391.0
KLU,TEFAS,Para Piyasası,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,91541913932.0
DLY,TEFAS,Para Piyasası,DENİZ PORTFÖY PARA PİYASASI (TL) FONU,60452188585.0
TLY,TEFAS,Kategorisiz,TERA PORTFÖY BİRİNCİ SERBEST FON,243624480154.0
UNT,TEFAS,Kategorisiz,İŞ PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,11274820440.0
NVT,TEFAS,Kategorisiz,NEO PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,11138472759.0
THF,TEFAS,Yerli Hisse,TERA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),40452359335.0
DOH,TEFAS,Yerli Hisse,TERA PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),11630369358.0
AK3,TEFAS,Yerli Hisse,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),8022980633.0
ZP8,TEFAS,Serbest Katılım Fonları,ZİRAAT PORTFÖY KEHRİBAR PARA PİYASASI KATILIM SERBEST (TL) FON,56658009926.0
PVK,TEFAS,Serbest Katılım Fonları,ALBARAKA PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,40166374091.0
KSV,TEFAS,Serbest Katılım Fonları,KUVEYT TÜRK PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,39062908263.0
LPH,TEFAS,Serbest İstatistiksel Arbitraj Fonları,STATECH PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),3746308459.0
BVZ,TEFAS,Serbest İstatistiksel Arbitraj Fonları,BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,3323163259.0
NSH,TEFAS,Serbest İstatistiksel Arbitraj Fonları,NUROL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),2560090461.0
GRO,TEFAS,Döviz Fon,GARANTİ PORTFÖY OTUZUNCU SERBEST (DÖVİZ) FON,194158949333.0
ONS,TEFAS,Döviz Fon,İŞ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,167679497812.0
PAL,TEFAS,Döviz Fon,AK PORTFÖY ALTINCI SERBEST (DÖVİZ) FON,151097942813.0
HMG,TEFAS,Mutlak Getiri Hedefli,HSBC PYŞ MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),7651085339.0
BHI,TEFAS,Mutlak Getiri Hedefli,BV PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),2109666037.0
TE3,TEFAS,Mutlak Getiri Hedefli,TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,1134332534.0
AFT,TEFAS,Tematik Hisse,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,18918597153.0
YAY,TEFAS,Tematik Hisse,YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU,13365190076.0
YAS,TEFAS,Tematik Hisse,YAPI KREDİ PORTFÖY KOÇ HOLDİNG  İŞTİRAK VE HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),6216567420.0
AFA,TEFAS,Yabancı Fonlar,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,5440708434.0
TMG,TEFAS,Yabancı Fonlar,İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU,5129258353.0
TGE,TEFAS,Yabancı Fonlar,İŞ PORTFÖY EMTİA YABANCI BYF FON SEPETİ FONU,3078738358.0
KZL,TEFAS,Altın Fonları,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,88639769251.0
OJK,TEFAS,Altın Fonları,QNB PORTFÖY ALTIN FONU,46829359733.0
YKT,TEFAS,Altın Fonları,YAPI KREDİ PORTFÖY ALTIN FONU,32667671108.0
GUB,TEFAS,Borçlanma Araçları - Özel Sektör,GARANTİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,4625724791.0
YBS,TEFAS,Borçlanma Araçları - Özel Sektör,YAPI KREDİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,2209715924.0
FYO,TEFAS,Borçlanma Araçları - Özel Sektör,QNB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,2038578371.0
GUV,TEFAS,Uzun Vadeli Borçlanma Araçları,GARANTİ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,759159201.0
