fon_kodu,varlik_sinifi,yuzdesel_agirlik
ABE,Yabancı BYF,81.39
ABE,Hisse Senedi,9.03
ABE,Ters-Repo,5.25
AE1,Devlet Tahvili,34.2
AE1,Ters-Repo,26.1
AE1,Mevduat (TL),21.64
AE1,Finansman Bonosu,6.86
AE1,Özel Sektör Tahvili,6.82
AE2,Devlet Tahvili,77.33
AE2,Ters-Repo,5.47
AEB,Hisse Senedi,91.41
AEH,Hisse Senedi,83.05
AEH,Ters-Repo,10.13
AEI,Devlet Tahvili,48.86
AEI,Hisse Senedi,29.23
AEI,BYF Katılma Payları,17.68
AEK,Devlet Tahvili,75.43
AEK,Ters-Repo,8.97
AEL,Kıymetli Maden Kamu Kira Sert.,83.3
AEL,BYF Katılma Payları,7.19
AEL,Kıymetli Madenler,6.06
AET,Devlet Tahvili,49.73
AET,Hisse Senedi,36.22
AET,BYF Katılma Payları,11.08
AEU,Hisse Senedi,91.74
AEU,Ters-Repo,6.65
AFA,Yabancı Hisse Senedi,98.05
AFH,Devlet Tahvili,61.32
AFH,Hisse Senedi,19.96
AFH,Girişim S. YF Kat. Payları,10.12
AFH,Gayrimenkul YF Kat. Payları,5.01
AFP,Kamu Kira Sert. (TL),64.71
AFP,Hisse Senedi,19.68
AFP,Girişim S. YF Kat. Payları,9.31
AFT,Yabancı Hisse Senedi,98.58
AG1,Devlet Tahvili,79.18
AG1,Ters-Repo,6.12
AG1,Girişim S. YF Kat. Payları,5.16
AG3,Hisse Senedi,87.85
AG3,Takasbank Para Piyasası,7.84
AGE,Kamu Kira Sert. (TL),69.32
AGE,Hisse Senedi,29.58
AH0,Hisse Senedi,82.63
AH0,Girişim S. YF Kat. Payları,6.89
AH0,Gayrimenkul YF Kat. Payları,5.08
AH3,Kamu Dış Borç. Araç.,80.59
AH3,Yabancı Özel Sektör B.A.,8.1
AH3,Ters-Repo,7.6
AH3,Mevduat (TL),5.49
AH5,Hisse Senedi,91.41
AH8,Devlet Tahvili,28.42
AH8,Özel Sektör Tahvili,23.82
AH8,Hisse Senedi,21.48
AH8,Finansman Bonosu,7.98
AH8,Vadeli İşlemler Nakit Teminatları,5.18
AHC,Finansman Bonosu,39.67
AHC,Özel Sektör Tahvili,35.89
AHC,Özel Sektör Kira Sert.,8.05
AHJ,Mevduat (TL),62.34
AHJ,Devlet Tahvili,37.09
AK2,Devlet Tahvili,82.04
AK2,Ters-Repo,11.81
AK2,Özel Sektör Tahvili,6.15
AK3,Hisse Senedi,85.48
AK3,Ters-Repo,9.6
ALI,Hisse Senedi,90.12
ALI,Yatırım Fonları Katılma Payları,8.63
ALR,Yabancı Hisse Senedi,37.68
ALR,Kamu Dış Borç. Araç.,26.84
ALR,Hisse Senedi,18.75
ALR,Yabancı BYF,8.61
AMG,Kamu Dış Borç. Araç.,91.21
AMY,Yabancı Hisse Senedi,37.26
AMY,Kamu Dış Borç. Araç.,25.8
AMY,Hisse Senedi,18.45
AMY,Yabancı BYF,9.68
AMZ,Kıymetli Maden Kamu B. A.,43.92
AMZ,Kıymetli Maden Kamu Kira Sert.,25.15
AMZ,Kıymetli Madenler,11.75
AMZ,Kıymetli Maden Cinsinden BYF,11.11
AO2,Katılma Hesabı (TL),81.82
AO2,Kamu Kira Sert. (TL),15.84
APJ,Yatırım Fonları Katılma Payları,85.08
APJ,Ters-Repo,10
ATE,Hisse Senedi,95.77
ATK,Devlet Tahvili,66.97
ATK,Hisse Senedi,27.68
AVB,Kamu Dış Borç. Araç.,83.17
AVB,Özel Sektör Dış Borç. Araç.,5.43
AVG,Kamu Dış Borç. Araç.,71.45
AVG,Özel Sektör Dış Borç. Araç.,12.64
AVH,Hisse Senedi,88.54
AVH,Ters-Repo,9.2
AVO,Finansman Bonosu,48.51
AVO,Özel Sektör Tahvili,20.9
AVO,Özel Sektör Kira Sert.,18.75
AVO,Ters-Repo,5.07
AVR,Yabancı Hisse Senedi,91.45
AVR,Yatırım Fonları Katılma Payları,7.16
AVY,Mevduat (TL),56.48
AVY,Hisse Senedi,41
AZD,Yabancı Hisse Senedi,43.02
AZD,Kıymetli Madenler,40.17
AZD,Ters-Repo,6.06
AZH,Hisse Senedi,87.97
AZH,Ters-Repo,8.32
AZK,Devlet Tahvili,74.1
AZK,Ters-Repo,8.4
AZK,Yatırım Fonları Katılma Payları,7.44
AZL,Devlet Tahvili,35.14
AZL,Mevduat (TL),24.46
AZL,Ters-Repo,24.33
AZL,Takasbank Para Piyasası,9.68
GRO,Özel Sektör Dış Borç. Araç.,66.52
GRO,Yabancı Özel Sektör B.A.,13.05
GRO,Ters-Repo,9.47
ONS,Özel Sektör Dış Borç. Araç.,46.56
ONS,Ters-Repo,27.03
ONS,Yabancı Özel Sektör B.A.,9.77
ONS,Kamu Dış Borç. Araç.,6.49
TP2,Ters-Repo,63.17
TP2,Borsa İstanbul Para Piyasası,15.7
TP2,Devlet Tahvili,9.76
TP2,Özel Sektör Kira Sert.,5.54
TTA,Kıymetli Madenler,61.53
TTA,Kıymetli Maden Cinsinden BYF,15.37
TTA,Kıymetli Maden Kamu Kira Sert.,13.14
YKT,Kıymetli Maden Kamu B. A.,40.63
YKT,Kıymetli Maden Kamu Kira Sert.,26.4
YKT,Kıymetli Madenler,22.82
YKT,Kıymetli Maden Cinsinden BYF,5.93
BGL,Kıymetli Madenler,58.07
BGL,Kıymetli Maden Cinsinden BYF,16.92
BGL,Kıymetli Maden Kamu Kira Sert.,12.27
BGL,Kıymetli Maden Kamu B. A.,6.57
BHI,Hisse Senedi,67.03
BHI,Vadeli İşlemler Nakit Teminatları,12.19
BHI,Finansman Bonosu,11.41
BKB,Döviz Kamu İç Borç. Araç.,84.09
BKB,Vadeli İşlemler Nakit Teminatları,15.91
BVZ,Ters-Repo,63.69
BVZ,Katılma Hesabı (TL),9.82
BVZ,Finansman Bonosu,9.64
BVZ,Varlığa Dayalı Menkul Kıy.,6.17
DCB,Mevduat (TL),64.28
DCB,Ters-Repo,29.1
DCB,Katılma Hesabı (TL),5.97
DIP,Mevduat (TL),90.69
DLY,Mevduat (TL),38.08
DLY,Ters-Repo,27.47
DLY,Devlet Tahvili,20.89
DLY,Katılma Hesabı (TL),8.88
DOH,Hisse Senedi,88.39
DOH,Yatırım Fonları Katılma Payları,11.56
EMY,Kıymetli Madenler,63
EMY,Kıymetli Maden Kamu Kira Sert.,35.92
EPI,Hisse Senedi,66.21
EPI,Özel Sektör Kira Sert.,15.82
EPI,Yabancı BYF,12.55
EPI,BTAA,5.42
FBC,Hisse Senedi,68.9
FBC,BYF Katılma Payları,11.21
FBC,Özel Sektör Kira Sert.,8.72
FBC,Yatırım Fonları Katılma Payları,8.65
FEA,Finansman Bonosu,59.79
FEA,Özel Sektör Tahvili,29.38
FEA,Özel Sektör Kira Sert.,6.78
FMG,Kıymetli Madenler,66.03
FMG,Hisse Senedi,31.07
FYO,Finansman Bonosu,60.47
FYO,Özel Sektör Tahvili,17.8
FYO,Ters-Repo,6.18
FYO,Özel Sektör Kira Sert.,5.54
FYO,Diğer,5.47
GBV,Yabancı Hisse Senedi,60.43
GBV,Hisse Senedi,18.26
GBV,Özel Sektör Dış Borç. Araç.,7.54
GBV,Vadeli İşlemler Nakit Teminatları,5.42
GBZ,Yabancı BYF,78.75
GBZ,BYF Katılma Payları,11.21
GBZ,Yatırım Fonları Katılma Payları,8.8
GCK,Kamu Kira Sert. (TL),63.99
GCK,Hisse Senedi,21.06
GCK,Girişim S. YF Kat. Payları,9.26
GCS,Devlet Tahvili,53.54
GCS,Hisse Senedi,20.1
GCS,Girişim S. YF Kat. Payları,10.94
GCS,Mevduat (TL),5.51
GCV,Mevduat (TL),46.54
GCV,Devlet Tahvili,30.31
GCV,Katılma Hesabı (TL),13.98
GCV,Ters-Repo,7.21
GDV,Katılma Hesabı (TL),100
GEG,Hisse Senedi,94.18
GEL,Ters-Repo,35.7
GEL,Devlet Tahvili,33.6
GEL,Mevduat (TL),21.04
GEV,Kıymetli Maden Kamu Kira Sert.,45.26
GEV,Kıymetli Madenler,42.4
GEV,Kıymetli Maden Cinsinden BYF,10.52
GGJ,Kıymetli Maden Cinsinden BYF,47.35
GGJ,Yatırım Fonları Katılma Payları,20.88
GGJ,BYF Katılma Payları,15.34
GGJ,Kıymetli Madenler,9.58
GGJ,Vadeli İşlemler Nakit Teminatları,6.49
GHA,Kıymetli Maden Kamu Kira Sert.,74.65
GHA,BYF Katılma Payları,24.21
GHD,Devlet Tahvili,64.22
GHD,Hisse Senedi,25.24
GHD,Girişim S. YF Kat. Payları,6.02
GHF,Devlet Tahvili,75.41
GHF,Hisse Senedi,7.33
GHF,Mevduat (TL),5.39
GHG,Kamu Dış Borç. Araç.,79.01
GHG,Özel Sektör Dış Borç. Araç.,8.32
GHK,Kamu Dış Borç. Araç.,75.63
GHK,Özel Sektör Dış Borç. Araç.,8.78
GHL,Kamu Kira Sert. (TL),56.64
GHL,Hisse Senedi,32.01
GHL,BYF Katılma Payları,11.33
GHO,Yabancı Hisse Senedi,35.73
GHO,Devlet Tahvili,20.44
GHO,Vadeli İşlemler Nakit Teminatları,12.79
GHO,Kıymetli Maden Kamu Kira Sert.,11.7
GHO,Yatırım Fonları Katılma Payları,6.97
GKB,Kamu Kira Sert. (TL),93.15
GMF,Yabancı BYF,49.27
GMF,Yatırım Fonları Katılma Payları,40.31
GMF,Kıymetli Maden Cinsinden BYF,7.35
GTZ,Kıymetli Maden Cinsinden BYF,68.67
GTZ,BYF Katılma Payları,15.25
GTZ,Yatırım Fonları Katılma Payları,10.76
GUB,Özel Sektör Tahvili,50.8
GUB,Finansman Bonosu,31
GUB,Ters-Repo,11.73
GUV,Devlet Tahvili,95.44
GZE,Yabancı BYF,66.99
GZE,Ters-Repo,15.89
GZE,Yatırım Fonları Katılma Payları,14.53
GZH,Yabancı Hisse Senedi,62.39
GZH,Hisse Senedi,14.33
GZH,Ters-Repo,7.75
GZL,Yabancı Hisse Senedi,55.91
GZL,Hisse Senedi,22.84
GZL,Ters-Repo,9.03
GZL,Yabancı BYF,5.74
GZY,Yabancı Hisse Senedi,63.96
GZY,Hisse Senedi,29.39
HHE,Hisse Senedi,52.37
HHE,BYF Katılma Payları,27.83
HHE,Girişim S. YF Kat. Payları,11.45
HHG,Kamu Dış Borç. Araç.,89.2
HMG,Hisse Senedi,82.04
HMG,Vadeli İşlemler Nakit Teminatları,10.37
HMG,Ters-Repo,5.58
IJC,Yabancı Hisse Senedi,70.87
IJC,Hisse Senedi,27.18
IJT,Yabancı BYF,66.21
IJT,Hisse Senedi,23.43
IJT,Ters-Repo,9.18
IKL,Yabancı Hisse Senedi,67.68
IKL,Finansman Bonosu,17.46
IKL,Hisse Senedi,5.92
IKP,Yabancı Hisse Senedi,65.5
IKP,Özel Sektör Tahvili,15.11
IKP,Hisse Senedi,11.21
IKP,Finansman Bonosu,7.61
IOG,Yabancı BYF,80.19
KEA,Kamu Kira Sert. (TL),53.32
KEA,Hisse Senedi,20.85
KEA,BYF Katılma Payları,18.43
KEB,Kamu Kira Sert. (TL),62.15
KEB,Hisse Senedi,28.82
KGC,Kıymetli Madenler,86.05
KGC,Kıymetli Maden Cinsinden BYF,10.3
KHL,Hisse Senedi,90.75
KHL,BYF Katılma Payları,9.25
KJM,Kıymetli Madenler,72.82
KJM,Kıymetli Maden Cinsinden BYF,14.7
KJM,Kıymetli Maden Kamu Kira Sert.,6.29
KJM,Yatırım Fonları Katılma Payları,5.73
KLU,BTAS,74.69
KLU,Katılma Hesabı (TL),25.3
KLV,Hisse Senedi,33.05
KLV,BTAS,32.95
KLV,Yabancı Hisse Senedi,19.85
KLV,Özel Sektör Kira Sert.,5.43
KLV,Katılma Hesabı (Döviz),5.17
