fon_kodu,unvan,risk_seviyesi,yonetim_ucreti,stopaj,alis_valoru,satis_valoru,pys,kategori,veri_tarihi,fon_buyuklugu,yatirimci_sayisi,gunluk_nakit_giris_cikisi
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,1,1,0.175,0,0,ATA PORTFÖY YÖNETİMİ A.Ş.,Para Piyasası,2026-09-18T00:00:00.000Z,1729382649,4431,-133756294.48636
AAS,ATA PORTFÖY FON SEPETİ SERBEST FON,5,0.75,0.175,1,3,ATA PORTFÖY YÖNETİMİ A.Ş.,Kategorisiz,2026-09-18T00:00:00.000Z,17175554,147,17170.148897000003
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),6,2.25,0,1,2,ATA PORTFÖY YÖNETİMİ A.Ş.,Yerli Hisse,2026-09-18T00:00:00.000Z,135626988,1929,-165827.99154
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FON,2,1,0.175,0,0,PARDUS PORTFÖY YÖNETİMİ A.Ş.,Serbest Katılım Fonları,2026-09-18T00:00:00.000Z,339515923,194,0
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,1,1,0.175,0,0,PARDUS PORTFÖY YÖNETİMİ A.Ş.,Para Piyasası,2026-09-21T00:00:00.000Z,1885979597,0,0
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),3,1.5,0,1,2,PARDUS PORTFÖY YÖNETİMİ A.Ş.,Serbest İstatistiksel Arbitraj Fonları,2026-09-18T00:00:00.000Z,23799999,143,-107.653056
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,6,2.5,0.175,1,2,PARDUS PORTFÖY YÖNETİMİ A.Ş.,Döviz Fon,2026-09-18T00:00:00.000Z,73026467,81,718674.47806
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),6,2.56,0,1,2,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,Yerli Hisse,2026-09-21T00:00:00.000Z,83728831,1261,-1060076.313764
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,5,2.1,0,1,2,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,Kategorisiz,2026-09-21T00:00:00.000Z,346510463,1481,-1865011.610385
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,5,1.095,0.175,,,İSTANBUL PORTFÖY YÖNETİMİ A.Ş.,Döviz Fon,2026-09-21T00:00:00.000Z,1478664390,159,0
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,4,2,0.175,1,2,AK PORTFÖY YÖNETİMİ A.Ş.,Mutlak Getiri Hedefli,2026-09-21T00:00:00.000Z,682917540,20333,-1519774.572087
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),,2,0,1,2,AK PORTFÖY YÖNETİMİ A.Ş.,Tematik Hisse,2026-09-21T00:00:00.000Z,3998792209,12221,-1604887.916913
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,5,1.75,0,1,2,ATA PORTFÖY YÖNETİMİ A.Ş.,Kategorisiz,2026-09-18T00:00:00.000Z,65247791,1375,-493447.369324
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,7,2.9,0.175,1,3,AK PORTFÖY YÖNETİMİ A.Ş.,Yabancı Fonlar,2026-09-18T00:00:00.000Z,1564532359,37399,8469593.388651
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),6,3,0,1,2,ALLBATROSS PORTFÖY YÖNETİMİ A.Ş.,Yerli Hisse,2026-09-21T00:00:00.000Z,7903343,0,-477474.10352
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,6,2.9,0.175,1,2,AK PORTFÖY YÖNETİMİ A.Ş.,Yabancı Fonlar,2026-09-21T00:00:00.000Z,5440708434,15550,-21822184.550907
AFO,AK PORTFÖY ALTIN FONU,6,2.04,0.175,1,1,AK PORTFÖY YÖNETİMİ A.Ş.,Altın Fonları,2026-09-21T00:00:00.000Z,19175318419,66712,-51858894.975224994
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,,2.9,0.175,1,3,AK PORTFÖY YÖNETİMİ A.Ş.,Tematik Hisse,2026-09-21T00:00:00.000Z,904163905,21935,-2352971.861824
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,6,2.9,0.175,1,2,AK PORTFÖY YÖNETİMİ A.Ş.,Tematik Hisse,2026-09-21T00:00:00.000Z,18918597153,66302,-84769077.54371999
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,6,2.9,0.175,1,3,AK PORTFÖY YÖNETİMİ A.Ş.,Yabancı Fonlar,2026-09-21T00:00:00.000Z,1196332765,6249,-3626405.1073220004
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,2,1.5,0.175,1,3,AK PORTFÖY YÖNETİMİ A.Ş.,Kategorisiz,2026-09-21T00:00:00.000Z,105362999,2137,-15142.276895
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),6,2.9,0,1,2,ATLAS PORTFÖY YÖNETİMİ A.Ş.,Yerli Hisse,2026-09-18T00:00:00.000Z,104454584,2467,-911484.3651480001
AHN,ATLAS PORTFÖY SERBEST (DÖVİZ) FON,7,1.5,0.175,1,3,ATLAS PORTFÖY YÖNETİMİ A.Ş.,Döviz Fon,2026-09-18T00:00:00.000Z,32973928,100,-102136.598969
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,1,1.4,0.175,1,1,ATLAS PORTFÖY YÖNETİMİ A.Ş.,Borçlanma Araçları - Özel Sektör,2026-09-18T00:00:00.000Z,80826071,568,-16663832.502848
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,4,2,0.175,1,3,AZİMUT PORTFÖY YÖNETİMİ A.Ş.,Kategorisiz,2026-09-21T00:00:00.000Z,135996341,0,-7181.92062
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,1,0.39,0.175,0,0,AK PORTFÖY YÖNETİMİ A.Ş.,Para Piyasası,2026-09-21T00:00:00.000Z,10799982310,4542,22556227.19862
