kategori,fon_sayisi,toplam_buyukluk_tl,ortalama_buyukluk_tl
Döviz Fon,98,1968274535546,20084434036
Para Piyasası,73,751614654912,10296091163
Kategorisiz,295,494437426296,1676059072
Serbest Para Piyasası Fonları,26,450981586667,17345445641
Altın Fonları,46,312022818625,6783104753
Serbest Katılım Fonları,40,264999503179,6624987579
Yerli Hisse,174,142690566162,820060725
Kısa Vadeli,21,84057207882,4002724185
Tematik Hisse,74,80364485055,1086006555
Kira Sertifikaları,18,74560577077,4142254282
Gümüş Fonları,12,68003261934,5666938494
Teknoloji,61,36836498250,603877020
Yabancı Fonlar,14,22154669340,1582476381
Kar Payı Ödeyen Fonlar (Döviz),1,20240876767,20240876767
Serbest İstatistiksel Arbitraj Fonları,27,17864996054,661666521
Mutlak Getiri Hedefli,18,15829433455,879412970
Borçlanma Araçları - Özel Sektör,9,13226785449,1469642828
Emtia Fonları,9,5728073663,636452629
Eurobond Borçlanma Araçları,1,4964431164,4964431164
Tarım - Gıda,9,2381888567,264654285
Sürdürülebilirlik,12,2158011803,179834317
Uzun Vadeli Borçlanma Araçları,4,1163276568,290819142
Kar Payı Ödeyen Fonlar,4,687491332,171872833
Tematik,6,537691671,89615278
Sağlık - İlaç,4,416470909,104117727
Endeks Temalı Fonlar,1,80272479,80272479
